title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
Promo Rumah Cluster Baru di Sleman 2 Lantai Unfurnished SHM Kaliurang,"Rp 1,88 Miliar",3.0,2.0,1.0,: 130 m²,: 150 m²,"Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark",Akatara Indah Land,Diperbarui 6 hari yang lalu oleh,"Kaliurang, Sleman",/properti/sleman/hos17726091/
Rumah Cantik Baru Shm Limasan Jalan Kaliurang Km 9 Sleman,Rp 749 Juta,3.0,2.0,1.0,: 706 m²,: 75 m²,"Rumah, Premier, Dekat Tempat Wisata, Dekat Landmark",Wisnu Kawiryan,Diperbarui 1 minggu yang lalu oleh,"Sleman, Sleman",/properti/sleman/hos18048860/
Rumah Imut Cantik Minimalis Harga Ekonomis Di Dalam Perumahan Gta Banguntapan Bantul Dekat Dm Swalayan,Rp 375 Juta,2.0,1.0,1.0,: 59 m²,: 40 m²,"Rumah, Premier, Dekat Sekolah",Ayanti Sahabat Properti Jogja,Diperbarui 1 minggu yang lalu oleh,"Banguntapan, Bantul",/properti/bantul/hos16402259/
Rumah Cantik Baru Shm Siap Huni Di Sleman Wedomartani,Rp 849 Juta,3.0,2.0,1.0,: 107 m²,: 90 m²,"Rumah, Premier, Siap Huni, Dekat Sekolah",Wisnu Kawiryan,Diperbarui 1 minggu yang lalu oleh,"Sleman, Yogyakarta",/properti/yogyakarta/hos17941774/
ISTIMEWA BANGET! RUMAH SUPER MEWAH EKLUSIF 2 LANTAI UNIT HOOK - HARGA MURAH BANGET DI DALAM PERUMAHAN ELITE BALE MULIA JOMBOR MLATI SLEMAN,"Rp 5,75 Miliar",6.0,4.0,2.0,: 355 m²,: 376 m²,"Rumah, Premier",Ayanti Sahabat Properti Jogja,Diperbarui 2 minggu yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos17125477/
BOMBASTIS JARANG ADA! RUMAH LUX MEWAH MEDITERANIA TROPICAL 2 LANTAI DENGAN KUALITAS PREMIUM DEKAT DENGAN TUGU JOGJA DAN MALIOBORO DALAM RINGROAD JL GO,"Rp 12,5 Miliar",6.0,7.0,4.0,: 636 m²,: 450 m²,"Rumah, Premier, Full Furnished, Dekat Sekolah",Ayanti Sahabat Properti Jogja,Diperbarui 2 minggu yang lalu oleh,"Godean, Sleman",/properti/sleman/hos15676746/
Rumah 2 Lantai Baru Semi Furnished SHM Yogyakarta,Rp 2 Miliar,4.0,4.0,1.0,: 104 m²,: 121 m²,"Rumah, Premier, Full Furnished",Fandri Liesmarindra,Diperbarui 3 minggu yang lalu oleh,"Banguntapan, Bantul",/properti/bantul/hos17900847/
Jual Rumah Kuantan Regency Harga Terjangkau,Rp 950 Juta,2.0,1.0,1.0,: 80 m²,: 40 m²,"Rumah, Premier, Dekat Akses Transportasi, Dekat Sekolah",Steven Kurniawan,Diperbarui 1 hari yang lalu oleh,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos18098355/
Rumah Dekat Malioboro Jalan Wates Pasar Gamping,Rp 650 Juta,3.0,2.0,1.0,: 128 m²,: 70 m²,"Rumah, Premier, Dekat Sekolah, Dekat Fasilitas Kesehatan",tri indarto,Diperbarui 1 hari yang lalu oleh,"Gamping, Sleman",/properti/sleman/hos6900890/
Rumah Besar Tanah Luas Bisa Buat Usaha Dalam Kota,"Rp 2,1 MiliarRp 2.2MHEMAT 100 Jutaan",6.0,3.0,1.0,: 265 m²,: 310 m²,"Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan",tri indarto,Diperbarui 1 hari yang lalu oleh,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos10917131/
Jual Kost Full Sewa Full Perabot Ac Water Dll,Rp 3 MiliarRp 3.1MHEMAT 100 Jutaan,12.0,12.0,1.0,: 196 m²,: 240 m²,"Rumah, Premier, Dekat Sekolah",tri indarto,Diperbarui 6 hari yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos7628407/
"Rumah 2 Lantai Di Banguntapan, Carport 2 Mobil","Rp 1,1 Miliar",3.0,2.0,2.0,: 98 m²,: 120 m²,"Rumah, Premier",Agus Prihantoro,Diperbarui 2 minggu yang lalu oleh,"Banguntapan, Bantul",/properti/bantul/hos17255585/
Rumah 2 Lantai Lokasi Strategis di Kirana Garden Gamping Sleman Full Furnished Atau Tanpa Furnished,"Rp 1,8 Miliar",4.0,4.0,2.0,: 149 m²,: 171 m²,"Rumah, Premier, Full Furnished, Dekat Sekolah",BUDI RAHARDJO,Diperbarui 3 minggu yang lalu oleh,"Gamping, Sleman",/properti/sleman/hos17600364/
"VILLA PREMIUM 2 LANTAI DENGAN PRIVATE POOL CANTIK DI KOTA JOGJA, SARIHARJO, NGAGLIK, SLEMAN",Rp 299 Juta,1.0,1.0,1.0,: 45 m²,: 45 m²,"Rumah, Premier, Bebas Banjir, Dekat Akses Transportasi",Rini Nurjanah,Diperbarui 4 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17828455/
Rumah Dalam Perumahan di JL magelang Km 7 Dekat Sleman City Hall Rumah SHM Bagus,"Rp 2,09 Miliar",3.0,2.0,2.0,: 110 m²,: 140 m²,"Rumah, Premier, Dekat Sekolah",Muhlisin panoramicland,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos14039902/
RUMAH FULL FURNISHED MEWAH GAYA SCANDINAVIAN DALAM PERUM SUKOHARJO RESIDENCE JL KALIURANG KM 12. DEKAT KAMPUS UII,"Rp 1,77 Miliar",3.0,3.0,2.0,: 121 m²,: 150 m²,"Rumah, Premier, Full Furnished, Dekat Akses Transportasi, Dekat Sekolah",Rumah Jogja Jogja,Diperbarui 3 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos16686160/
Rumah Mewah Tengah Kota Dekat Malioboro Yogyakarta,"Rp 2,37 Miliar",3.0,3.0,1.0,: 136 m²,: 150 m²,"Rumah, Premier, Full Furnished",Winata,Diperbarui 4 hari yang lalu oleh,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos15842968/
"Big Sale, Promo 99. Rumah Etnik Desain Joglo 400 Jt An, Shm.",Rp 450 Juta,2.0,1.0,1.0,: 75 m²,: 36 m²,"Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Yunna ciptanugraha,Diperbarui 4 hari yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos18069786/
Dijual Kost Aktif 2 Lantai Hgb Rumah Bagus Selatan,Rp 3 Miliar,12.0,12.0,1.0,: 271 m²,: 345 m²,"Rumah, Premier",HESTI (RZFY),Diperbarui 2 minggu yang lalu oleh,"Seturan, Yogyakarta",/properti/yogyakarta/hos17934238/
Rumah Kolam Renang Villa Dalam Kota Jogja,Rp 3 Miliar,2.0,3.0,1.0,: 280 m²,: 150 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan",tri indarto,Diperbarui 5 hari yang lalu oleh,"Mantrijeron, Yogyakarta",/properti/yogyakarta/hos6918703/
Rumah Siap Huni Balecatur Yogyakarta,Rp 399 Juta,2.0,1.0,1.0,: 101 m²,: 45 m²,"Rumah, Premier, Siap Huni, Dekat Sekolah",Hendri Panuntun,Diperbarui 4 hari yang lalu oleh,"Gamping, Sleman",/properti/sleman/hos16704444/
"Rumah 2 Lantai Di Sakha Residence, Purwomartani, Kalasan, Sleman",Rp 799 Juta,3.0,2.0,1.0,: 88 m²,: 84 m²,"Rumah, Premier, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",RINTO TANIZAR,Diperbarui 1 minggu yang lalu oleh,"Kalasan, Sleman",/properti/sleman/hos17991548/
DI JUAL RUMAH LINGKUNGAN NYAMAN DAN ASRI HARGA RENDAH SIAP HUNI,Rp 550 Juta,4.0,3.0,1.0,: 90 m²,: 115 m²,"Rumah, Premier, Siap Huni",Diah Lestari N / Ellen,Diperbarui 6 hari yang lalu oleh,"Kasihan, Bantul",/properti/bantul/hos17981612/
Rumah Klasik Joglo Jawa Sampingya Sungai,"Rp 1,7 Miliar",4.0,3.0,2.0,: 600 m²,: 350 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Tempat Wisata",tri indarto,Diperbarui 5 hari yang lalu oleh,"Piyungan, Bantul",/properti/bantul/hos13188437/
Rumah Mewah 2 Lantai Scandinavian Kekinian - Fully Furnished Harga Murah Di Timur Pasar Gentan Jalan Kaliurang Km 9.5 Ngaglik Sleman,"Rp 1,39 Miliar",3.0,3.0,2.0,: 134 m²,: 110 m²,"Rumah, Premier, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Landmark",Ayanti Sahabat Properti Jogja,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17978818/
RUMAH BARU CANTIK DESAIGN MODERN KEKINIAN DI PURWOMARTANI DEKAT BUDI MULIA TAJEM SLEMAN,Rp 575 Juta,2.0,1.0,1.0,: 90 m²,: 50 m²,"Rumah, Premier",Ayanti Sahabat Properti Jogja,Diperbarui 1 minggu yang lalu oleh,"Purwomartani , Sleman",/properti/sleman/hos17632116/
RUMAH MEWAH ELEGAN HARGA MURAH BANGET DI WEDOMARTANI NGEMPLAK SLEMAN DEKAT BUDI MULIA TAJEM,Rp 750 Juta,3.0,2.0,1.0,: 99 m²,: 85 m²,"Rumah, Premier, Dekat Sekolah",Ayanti Sahabat Properti Jogja,Diperbarui 1 minggu yang lalu oleh,"Ngemplak, Sleman",/properti/sleman/hos17704340/
Kost Mewah Dan Strategis 2 Lantai Istimewa Harga Murah Di Jalan Kaliurang Km 5.5 Catur Tunggal Depok Sleman Dekat Kampus Ugm,Rp 4 Miliar,15.0,15.0,2.0,: 364 m²,: 500 m²,"Rumah, Premier, Dekat Sekolah, Dekat Landmark",Ayanti Sahabat Properti Jogja,Diperbarui 1 minggu yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17977981/
Rumah Siap Huni Elegan Include Pagar Canopy Di Sleman Jogja,Rp 875 Juta,3.0,2.0,1.0,: 107 m²,: 70 m²,"Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Ali Heiwa Property,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17623516/
Hunian Mewah Eksklusif Impian Keluarga di Maguwoharjo Sleman,"Rp 2,37 Miliar",3.0,3.0,1.0,: 129 m²,: 126 m²,"Rumah, Premier",Rizal Heiwa Property,Diperbarui 1 minggu yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17748714/
Rumah siap Huni Harga Rendah Design Industrial di Sleman,"Rp 4,5 Miliar",3.0,3.0,1.0,: 220 m²,: 500 m²,"Rumah, Premier, Siap Huni",RINTO TANIZAR,Diperbarui 3 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17859058/
RUMAH SIAP HUNI DI PURWOMARTANI KALASAN,Rp 775 Juta,3.0,2.0,1.0,: 106 m²,: 78 m²,"Rumah, Premier, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Adi Wastu,Diperbarui 3 minggu yang lalu oleh,"Kalasan, Sleman",/properti/sleman/hos17690956/
Rumah 2 Lantai Shm Bebas Pajak Palagan Jogja Sleman Yogyakarta,Rp 788 Juta,3.0,2.0,1.0,: 85 m²,: 75 m²,"Rumah, Featured",Pt Menoreh Megah Abhipraya,Diperbarui 12 jam yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos18023198/
"Rumah Smart Home Jl Magelang dekat pemda sleman, jombor, ugm, gito gati, sleman city hall",Rp 750 Juta,3.0,2.0,2.0,: 122 m²,: 65 m²,"Rumah, Featured, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah",Optima Property,Diperbarui 3 minggu yang lalu oleh,"Sleman, Sleman",/properti/sleman/hos7166797/
Rumah Mewah dan Besar dekat Keraton Jogja,Rp 16 Miliar,8.0,6.0,4.0,: 851 m²,: 500 m²,"Rumah, Featured",Jogjarumahcom yogyakarta,Diperbarui 3 minggu yang lalu oleh,"Kraton, Yogyakarta",/properti/yogyakarta/hos17829403/
Rumah baru siap huni dalam cluster area jalan palagan barat hyatt,Rp 770 Juta,3.0,2.0,1.0,: 111 m²,: 60 m²,"Rumah, Featured, Siap Huni",Nanang Ibrahim,Diperbarui 1 minggu yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos17422251/
Rumah Baru Siap Huni 10menit Bandara Adisucipto,Rp 475 Juta,3.0,1.0,1.0,: 85 m²,: 55 m²,"Rumah, Featured, Siap Huni, Dekat Akses Transportasi",rumah jogja 24,Diperbarui 2 hari yang lalu oleh,"Berbah, Sleman",/properti/sleman/hos18087502/
10 Menit Saja!! Ke kampus Uii..Rumah Baru lingkungan nyaman,"Rp 1,28 Miliar",3.0,2.0,1.0,: 146 m²,: 100 m²,"Rumah, Featured, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rully Java,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17574628/
Rumah Lux Spek Istimewa Ring 1 Kampus Umy Hadiah Free 1 Motor,"Rp 1,97 Miliar",3.0,2.0,2.0,: 133 m²,: 80 m²,"Rumah, Featured, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",Zakaria Dwi Atmaja,Diperbarui 4 hari yang lalu oleh,"Kasihan, Bantul",/properti/bantul/hos18076527/
"Rumah Di Cluster, Sleman Yogyakarta","Rp 1,69 Miliar",3.0,3.0,1.0,: 172 m²,: 100 m²,"Rumah, Featured, Dekat Tempat Wisata",Aria Maharani,Diperbarui 5 hari yang lalu oleh,"Sleman, Yogyakarta",/properti/yogyakarta/hos16629118/
Rumah Baru Cantik View Sawah Dekat Jl. Kaliurang Km 12,Rp 699 Juta,3.0,1.0,1.0,: 702 m²,: 70 m²,"Rumah, Featured, Siap Huni, Dekat Sekolah, Dekat Landmark",Wisnu Kawiryan,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17976535/
Rumah Eks Gudang Masuk Truck Box Di Deket Perempatan Jombor,"Rp 6,5 Miliar",5.0,4.0,4.0,: 952 m²,: 329 m²,"Rumah, Featured, Dekat Sekolah",Fery Kurniawan,Diperbarui 2 minggu yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos17854096/
Rumah Paling Murah Cicilan 1jt Di Moyudan Sleman,Rp 200 Juta,2.0,1.0,1.0,: 60 m²,: 30 m²,"Rumah, Subsidi, Dekat Pusat Perbelanjaan, Dekat Sekolah",HAGI WASTU,Diperbarui 17 jam yang lalu oleh,"Moyudan, Sleman",/properti/sleman/hos17039183/
Termurah dan Mewah di Jogja Rumah Dekat Bandara Adisutjipto,"Rp 1,27 Miliar",3.0,3.0,1.0,: 110 m²,: 114 m²,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",Arif Faiza,Diperbarui 18 jam yang lalu oleh,"Jetis, Yogyakarta",/properti/yogyakarta/hos17840714/
Rumah 2 Lantai Unfurnished SHM Hoek Di Perum Kuantan Wirobrajan,"Rp 2,55 Miliar",3.0,2.0,2.0,: 161 m²,: 85 m²,"Rumah, Siap Huni, Dekat Sekolah",Fery Kurniawan,Diperbarui 23 jam yang lalu oleh,"Wirobrajan, Yogyakarta",/properti/yogyakarta/hos18079481/
Rumah Lama Cocok Untuk Usaha Lokasi Strategis KotaBaru Yogyakarta,Rp 13 Miliar,3.0,3.0,5.0,: 523 m²,: 450 m²,"Rumah, Dekat Fasilitas Kesehatan",Reza,Diperbarui 4 hari yang lalu oleh,"Kota Baru, Yogyakarta",/properti/yogyakarta/hos17750410/
Jual Rumah 1 Lantai Halaman Luas di Purwomartani Sleman,"Rp 1,35 Miliar",4.0,2.0,1.0,: 207 m²,: 160 m²,"Rumah, Siap Huni, Dekat Tempat Ibadah",Bella Viva,Diperbarui 1 minggu yang lalu oleh,"Purwomartani, Yogyakarta",/properti/yogyakarta/hos17709146/
Rumah Siap Huni Di Jakal Km 12 400m Dari Jl Besi Jangkang,Rp 925 JutaRp 950 JutaHEMAT 25 Jutaan,3.0,2.0,2.0,: 146 m²,: 71 m²,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",info rumah jogja kita,Diperbarui 8 jam yang lalu oleh,"Sleman, Sleman",/properti/sleman/hos14806525/
Rumah Cantik Minimalis Kembar 3 Unit Dengan Tanah Luas Di Dekat Jogjabay Wedomartani Ngemplak Sleman,"Rp 1,1 Miliar",3.0,2.0,1.0,: 154 m²,: 90 m²,"Rumah, Dekat Sekolah, Dekat Tempat Wisata",Muhlisin panoramicland,Diperbarui 8 jam yang lalu oleh,"Ngemplak, Sleman",/properti/sleman/hos18041178/
"Dijual Rumah Plus Kost, 2 Lantai, Strategis, Dekat Beberapa Kampus di Yogyakarta","Rp 3,5 Miliar",7.0,5.0,2.0,: 199 m²,: 320 m²,"Rumah, Dekat Sekolah",Maria,Diperbarui 12 jam yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17880992/
RUMAH MEWAH MODERN LIMASAN DALAM MINI CLUSTER KLIDON RESIDENCE DI JALAN KALIURANG KM 13 SUKOHARJO NGAGLIK SLEMAN,"Rp 1,03 Miliar",3.0,2.0,2.0,: 137 m²,: 100 m²,"Rumah, Dekat Sekolah, Dekat Landmark",Nelly Oktaviana,Diperbarui 9 jam yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17944273/
RUMAH MEWAH 2 LANTAI FURNISHED DALAM PERUMAHAN DI BARAT BUGISAN - JALAN WATES KM 3 NGESTIHARJO KASIHAN BANTUL DALAM RINGROAD DEKAT KE PUSAT KoTa,"Rp 1,98 Miliar",4.0,3.0,2.0,: 184 m²,: 160 m²,"Rumah, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah",Muhlisin panoramicland,Diperbarui 12 jam yang lalu oleh,"Kasihan, Bantul",/properti/bantul/hos17765114/
Rumah Bari Murah 2 Lantai Di Ngemplak Sleman Baru,"Rp 1,4 Miliar",3.0,2.0,1.0,: 100 m²,: 85 m²,"Rumah, Dekat Sekolah, Dekat Tempat Wisata",Muhlisin panoramicland,Diperbarui 6 jam yang lalu oleh,"Ngemplak, Sleman",/properti/sleman/hos16240780/
RUMAH MEWAH POSISI HOOK DEKAT UGM DI NGAGKLIK SLEMAN,"Rp 5,1 Miliar",7.0,3.0,4.0,: 365 m²,: 400 m²,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Landmark",Faridah Property,Diperbarui 6 jam yang lalu oleh,"Sleman, Sleman",/properti/sleman/hos12552510/
Rumah Mewah Klasik Dekat Kampus Umy di Sribitan Bangunjiwo Siap Huni,Rp 596 Juta,3.0,2.0,2.0,: 77 m²,: 72 m²,"Rumah, Siap Huni, Dekat Sekolah",Hamdan Nugroho,Diperbarui 9 jam yang lalu oleh,"Kasihan, Bantul",/properti/bantul/hos17462296/
Rumah Murah Jogja Hunian Asri Fasilitas Perum lengkap,Rp 269 Juta,2.0,1.0,1.0,: 60 m²,: 36 m²,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Tempat Ibadah",MUKHMAMMAD FAIZIN,Diperbarui 1 hari yang lalu oleh,"Sedayu, Bantul",/properti/bantul/hos17007033/
Rumah Cantik Siap Huni Samping Sedayu General Hospital,Rp 690 Juta,2.0,1.0,2.0,: 97 m²,: 50 m²,"Rumah, Siap Huni, Dekat Fasilitas Kesehatan",MUKHMAMMAD FAIZIN,Diperbarui 1 hari yang lalu oleh,"Sedayu, Bantul",/properti/bantul/hos17650830/
Rumah Baru Siap Huni Dekat Kampus UMY Yogyakarta,Rp 566 Juta,3.0,2.0,1.0,: 90 m²,: 55 m²,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Sekolah",MUKHMAMMAD FAIZIN,Diperbarui 1 hari yang lalu oleh,"Gamping, Sleman",/properti/sleman/hos17567742/
Rumah Termurah Di Yogyakarta Investasi Bisa Kpr Tanpa Bank,Rp 230 Juta,2.0,1.0,1.0,: 66 m²,: 36 m²,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Sekolah",Adi Kawan Property,Diperbarui 22 jam yang lalu oleh,"Sedayu, Bantul",/properti/bantul/hos17991387/
Rumah Klasik Modern Bisa Kpr Dekat Jalan Wates Km 12,Rp 520 Juta,2.0,1.0,1.0,: 72 m²,: 48 m²,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",HAGI WASTU,Diperbarui 1 hari yang lalu oleh,"Sedayu, Bantul",/properti/bantul/hos16336041/
"Rumah Minimalis Modern Siap Huni di Jakal Km 12,Dekat Kampus Uii",Rp 850 Juta,3.0,2.0,1.0,: 107 m²,: 71 m²,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",indah ade,Diperbarui 1 hari yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17537176/
"Jual Mini Hotel Dan Kost di Maguwoharjo Yogyakarta, View Merapi","Rp 6,8 Miliar",21.0,21.0,3.0,: 245 m²,: 650 m²,Rumah,Bella Viva,Diperbarui 1 hari yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17904697/
Rumah 2 lantai full furnished di timur PLN Gedongkuning.,"Rp 1,85 Miliar",4.0,3.0,2.0,: 204 m²,: 198 m²,"Rumah, Full Furnished",hermawani kurnia,Diperbarui 1 hari yang lalu oleh,"Kotagede, Yogyakarta",/properti/yogyakarta/hos17422267/
"Rumah tinggal (di lantai 2) & ruang usaha ''home industry'' (di lantai 1), lokasi Selatan RS Hermina. Siap huni.","Rp 4,2 Miliar",4.0,3.0,1.0,: 521 m²,: 550 m²,"Rumah, Siap Huni, Dekat Fasilitas Kesehatan",hermawani kurnia,Diperbarui 1 hari yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos10377823/
Rumah mewah 2 lantai semi-furnished lux di Perum elite Tirtasani.,"Rp 4,5 Miliar",4.0,3.0,1.0,: 307 m²,: 280 m²,"Rumah, Full Furnished",hermawani kurnia,Diperbarui 18 jam yang lalu oleh,"Sleman, Yogyakarta",/properti/yogyakarta/hos15325501/
"Rumah 2 Lantai Baru Furnished di Purwomartani , Sleman","Rp 1,5 Miliar",4.0,3.0,2.0,: 133 m²,: 125 m²,"Rumah, Full Furnished",Mas Faridl Properti Jogja,Diperbarui 1 hari yang lalu oleh,"Purwomartani , Sleman",/properti/sleman/hos18069080/
RUMAH MEWAH HARGA MURAH DI JALAN KALIURANG KM 14 NGEMPLAK SLEMAN,Rp 765 Juta,3.0,2.0,1.0,: 107 m²,: 100 m²,"Rumah, Dekat Sekolah, Dekat Landmark",Nelly Oktaviana,Diperbarui 1 hari yang lalu oleh,"Ngemplak, Sleman",/properti/sleman/hos17944419/
Dijual Kos Selangkah Uii Bisa Kpr Full Furnished,"Rp 1,67 Miliar",8.0,8.0,2.0,: 100 m²,: 125 m²,"Rumah, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah",Dedi Jayantaka,Diperbarui 1 hari yang lalu oleh,"Seturan, Yogyakarta",/properti/yogyakarta/hos17318015/
Rumah Kolam Renang Pribadi Dekat Blok O SHM Ready,"Rp 1,93 Miliar",3.0,3.0,2.0,: 150 m²,: 110 m²,"Rumah, Dekat Akses Transportasi",Dedi Jayantaka,Diperbarui 1 hari yang lalu oleh,"Danurejan, Yogyakarta",/properti/yogyakarta/hos16656910/
Rumah Siap Huni Mlati Di Jl.kebon Agung Barat Pasar Cebongan,Rp 725 Juta,3.0,2.0,2.0,: 114 m²,: 71 m²,"Rumah, Siap Huni, Bebas Banjir, Dekat Akses Transportasi",info rumah jogja kita,Diperbarui 1 hari yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos17996753/
Rumah Mewah Full Furnished 2 Lantai Di Jl Kapten Hariyadi Palagan,"Rp 2,35 Miliar",4.0,4.0,2.0,: 123 m²,: 145 m²,"Rumah, Full Furnished",info rumah jogja kita,Diperbarui 1 hari yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17967555/
Rumah Baru Sisa 2 Unit Siap Huni Di Jl Godean Km 12 Sidoluhur,Rp 450 Juta,2.0,1.0,1.0,: 82 m²,: 50 m²,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",info rumah jogja kita,Diperbarui 1 hari yang lalu oleh,"Godean, Sleman",/properti/sleman/hos18015448/
Rumah Mewah Private Pool dekat Kampus UGM Yogyakarta,"Rp 1,21 Miliar",3.0,2.0,1.0,: 81 m²,: 120 m²,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rifany Cahyaning,Diperbarui 1 hari yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17760856/
Resort di Kaliurang Jogja Dengan Suasana Asri,Rp 551 Juta,2.0,1.0,1.0,: 59 m²,: 93 m²,"Rumah, Dekat Sekolah, Dekat Tempat Ibadah, Dekat Landmark",Rifany Cahyaning,Diperbarui 1 hari yang lalu oleh,"Kaliurang, Sleman",/properti/sleman/hos17967316/
Rumah Kolam Renang Godean Harga 2 Miliar,Rp 2 Miliar,3.0,3.0,2.0,: 163 m²,: 172 m²,"Rumah, Dekat Sekolah",tri indarto,Diperbarui 1 hari yang lalu oleh,"Gamping, Sleman",/properti/sleman/hos11284977/
Rumah Baru Cantik Modern - Desaign Scandinavian 3 Unit Di Wedomartani Ngemplak Sleman,Rp 772 Juta,3.0,2.0,1.0,: 157 m²,: 60 m²,"Rumah, Dekat Sekolah",Muhlisin panoramicland,Diperbarui 1 hari yang lalu oleh,"Ngemplak, Sleman",/properti/sleman/hos17934091/
"Rumah Murah, Dengan Furnished Di Banguntapan, Bantul",Rp 435 Juta,2.0,1.0,1.0,: 75 m²,: 55 m²,"Rumah, Full Furnished, Siap Huni, Dekat Akses Transportasi",HAGI WASTU,Diperbarui 3 hari yang lalu oleh,"Banguntapan, Bantul",/properti/bantul/hos17449132/
Rumah Murah Luas Tanah Di Sleman Dekat Polres Sleman,Rp 397 Juta,2.0,1.0,1.0,: 101 m²,: 42 m²,"Rumah, Dekat Sekolah, Dekat Landmark",HAGI WASTU,Diperbarui 3 hari yang lalu oleh,"Sleman, Sleman",/properti/sleman/hos18016344/
Hunian Mewah Private Pool di Maguwoharjo Yogyakarta,"Rp 1,22 Miliar",3.0,2.0,2.0,: 81 m²,: 120 m²,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rifany Cahyaning,Diperbarui 3 hari yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17726542/
Promo Villa Mewah Suasana Asri di Maguwoharjo,"Rp 1,35 Miliar",3.0,2.0,1.0,: 81 m²,: 120 m²,Rumah,Rifany Cahyaning,Diperbarui 3 hari yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17938353/
Promo Villa Furnished di Kawasan Wisata Jogja,Rp 328 Juta,1.0,1.0,1.0,: 45 m²,: 45 m²,"Rumah, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah",Rifany Cahyaning,Diperbarui 3 hari yang lalu oleh,"Pakem, Sleman",/properti/sleman/hos17927722/
Jual Rumah Mewah Sleman Yogyakarta Dekat Stadion Maguwoharjo,"Rp 1,29 Miliar",3.0,2.0,2.0,: 81 m²,: 120 m²,"Rumah, Dekat Tempat Wisata",Rifany Cahyaning,Diperbarui 3 hari yang lalu oleh,"Condong Catur, Sleman",/properti/sleman/hos17858527/
