title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
"Rumah SHM Siap Huni di Prambanan, Sleman",Rp 550 Juta,2.0,1.0,1.0,: 110 m²,: 100 m²,"Rumah, Premier, Siap Huni, Bebas Banjir",Regina Puspa Arinta,Diperbarui 2 hari yang lalu oleh,"Prambanan, Sleman",/properti/sleman/hos18097991/
Rumah 2lantai Dengan Private Pool Dekat Kemana2 Shm Baru,"Rp 1,85 Miliar",4.0,3.0,2.0,: 118 m²,: 126 m²,"Rumah, Premier, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Umi Roro XMJI,Diperbarui 2 hari yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17923350/
Homestay Klasik Full Furnished Tanah Luas Tepian Sawah,"Rp 5,5 Miliar",12.0,10.0,1.0,: 1850 m²,: 600 m²,"Rumah, Premier, Full Furnished, Dekat Sekolah",tri indarto,Diperbarui 1 minggu yang lalu oleh,"Sewon, Bantul",/properti/bantul/hos11016697/
Rumah Luas 2 Lantai 5 Kamar Tidur Cck Untuk Keluarga Kantor Area Dekat Jalan Kaliurang,"Rp 2,05 Miliar",5.0,4.0,1.0,: 188 m²,: 300 m²,"Rumah, Premier, Dekat Sekolah, Dekat Landmark",Nanang Ibrahim,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17834444/
Rumah Tanah Luas Dekat Kota Bugisan 1000 Meter,"Rp 3,5 Miliar",6.0,3.0,4.0,: 1052 m²,: 300 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan, Dekat Tempat Ibadah",tri indarto,Diperbarui 1 minggu yang lalu oleh,"Kasihan, Bantul",/properti/bantul/hos13188394/
"Rumah 2 Lantai Di Banguntapan, Carport 2 Mobil","Rp 1,1 Miliar",3.0,2.0,2.0,: 98 m²,: 120 m²,"Rumah, Premier",Agus Prihantoro,Diperbarui 2 minggu yang lalu oleh,"Banguntapan, Bantul",/properti/bantul/hos17255585/
"VILLA PREMIUM 2 LANTAI DENGAN PRIVATE POOL CANTIK DI KOTA JOGJA, SARIHARJO, NGAGLIK, SLEMAN",Rp 299 Juta,1.0,1.0,1.0,: 45 m²,: 45 m²,"Rumah, Premier, Bebas Banjir, Dekat Akses Transportasi",Rini Nurjanah,Diperbarui 4 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17828455/
Rumah Baru Siap Huni Mewah Modern Istimewa Dalam Mini Cluster Di Wedomartani Utara Tajem Dekat Budi Mulia,Rp 835 Juta,3.0,2.0,1.0,: 107 m²,: 91 m²,"Rumah, Premier, Siap Huni, Dekat Sekolah",Ayanti Sahabat Properti Jogja,Diperbarui 1 minggu yang lalu oleh,"Ngemplak, Sleman",/properti/sleman/hos16805006/
Rumah Dalam Perumahan di JL magelang Km 7 Dekat Sleman City Hall Rumah SHM Bagus,"Rp 2,09 Miliar",3.0,2.0,2.0,: 110 m²,: 140 m²,"Rumah, Premier, Dekat Sekolah",Muhlisin panoramicland,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos14039902/
SUPER ISTIMEWA SUPER ISTIMEWA SUPER ISTIMEWA RUMAH MEWAH ISTIMEWA HOOK 2 LANTAI - FULLY FURNISHED DI MAGUWOHARJO DEPOK SLEMAN 2 Lantai Rumah SHM Baru ,"Rp 2,6 Miliar",4.0,4.0,2.0,: 150 m²,: 190 m²,"Rumah, Premier, Full Furnished, Dekat Sekolah",Muhlisin panoramicland,Diperbarui 1 minggu yang lalu oleh,"Depok, Sleman",/properti/sleman/hos16335347/
Rumah Baru Desain Mewah Elegan Di Jalan Kaliurang Km 7 Ngaglik Sleman Jogja,"Rp 1,89 Miliar",3.0,3.0,1.0,: 122 m²,: 130 m²,"Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Irmasari,Diperbarui 2 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17949350/
Rumah Besar Pinggir Jl Aspal Di Jl. Sonosewu Pgri Jogja,"Rp 1,6 Miliar",4.0,3.0,3.0,: 221 m²,: 80 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",info rumah jogja kita,Diperbarui 1 minggu yang lalu oleh,"Kasihan, Bantul",/properti/bantul/hos18017435/
BANTING HARGA !!Villa Cantik..Lingkungan Asri..Sejuk..sangat nyaman..,"Rp 1,49 Miliar",2.0,2.0,2.0,: 683 m²,: 400 m²,"Rumah, Premier, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Landmark",Rully Java,Diperbarui 1 minggu yang lalu oleh,"Kaliurang, Sleman",/properti/sleman/hos16966364/
