region,bedroom_importance,bathroom_importance,land_area_importance,building_area_importance
Bantul,0.901230395381084,0.7416197012420268,0.2851834588140271,0.8614210122154112
Gunung Kidul,,,-0.8982841667252306,0.26792190224563867
Kulon Progo,,,0.05579609193886743,
Sleman,0.7275658765599881,0.8146863675470234,0.7977809289530046,0.8767928280976011
Yogyakarta,0.7211320947507799,0.8073535344839106,0.7694618656943809,0.8718322303146869
