title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
Rumah baru Desain Modern Jalan Kaliurang KM 12,1850000000.0,4.0,3.0,2.0,135.0,165.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Jogjarumahcom yogyakarta,2025-04-10 15:39:32.498628,"Ngaglik, Sleman",/properti/sleman/hos18093545/,Ngaglik,Sleman
Rumah Scandinavian Mezzanine Siap Huni Diskon 17 Jt di Tamantirto,450000000.0,2.0,1.0,1.0,78.0,45.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Sekolah",Hatta (Adi Jaya Berlian Property),2025-04-10 15:39:32.498629,"Kasihan, Bantul",/properti/bantul/hos18093528/,Kasihan,Bantul
"Rumah Bagus Siap Huni Di Sewon, 3 Menit Kampus Isi Jogja",800000000.0,3.0,2.0,1.0,154.0,60.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Rozaq Wastu,2025-04-10 15:39:32.498630,"Sewon, Bantul",/properti/bantul/hos18093518/,Sewon,Bantul
Rumah Mewah Scandinavian Full Furnished Dekat Kampus Uii,2000000000.0,4.0,4.0,2.0,150.0,170.0,"Rumah, Full Furnished, Dekat Sekolah",Mas Faridl Properti Jogja,2025-04-10 15:39:32.498631,"Sleman, Yogyakarta",/properti/yogyakarta/hos18093517/,Sleman,Yogyakarta
Rumah Carport Luas Sleman,720000000.0,3.0,1.0,2.0,120.0,50.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rida Property,2025-04-10 15:39:32.498632,"Ngemplak, Sleman",/properti/sleman/hos18093497/,Ngemplak,Sleman
Di Jual Rumah Siap Huni Bangunan Baru Harga Rendah,690000000.0,2.0,1.0,1.0,98.0,98.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",SUN PROPERTY INDONESIA,2025-04-10 15:39:32.498633,"Godean, Sleman",/properti/sleman/hos18093492/,Godean,Sleman
"Rumah Murah Siap Ditempati Di Sewon, 3 Menit Kampus Isi Jogja",800000000.0,3.0,2.0,1.0,154.0,60.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Aryo Wastu,2025-04-10 15:39:32.498634,"Sewon, Bantul",/properti/bantul/hos18093450/,Sewon,Bantul
"Rumah Desain Kontemporer Full Furnished Di Sleman, Hanya 5 Menit Ke Kampus 3 Sanata Dharma",1450000000.0,3.0,2.0,1.0,100.0,85.0,"Rumah, Full Furnished, Dekat Sekolah, Dekat Tempat Wisata",Oki Wastu,2025-04-10 15:39:32.498636,"Ngaglik, Sleman",/properti/sleman/hos18093339/,Ngaglik,Sleman
Rumah Siap Bangun Sleman Hanya 720jt,720000000.0,3.0,1.0,2.0,120.0,50.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rida Property,2025-04-10 15:39:32.498637,"Ngemplak, Sleman",/properti/sleman/hos18093337/,Ngemplak,Sleman
"Dijual Rumah Siap Huni Potong 17 Jt Tanpa Diundi, Selatan Umy",549000000.0,2.0,1.0,1.0,80.0,45.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Sekolah",Hatta (Adi Jaya Berlian Property),2025-04-10 15:39:32.498638,"Kasihan, Bantul",/properti/bantul/hos18093335/,Kasihan,Bantul
Rumah Siap Huni 600 Jt an di Jl Berbah Sleman,650000000.0,3.0,2.0,1.0,116.0,60.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Kurnia,2025-04-10 15:39:32.498639,"Kotagede, Yogyakarta",/properti/yogyakarta/hos18093331/,Kotagede,Yogyakarta
Rumah Minimalis Modern Siap Huni Dekat Ru Pku Gamping Sleman,485000000.0,2.0,1.0,0.0,108.0,42.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Sekolah",Riski Wastu,2025-04-10 15:39:32.498640,"Gamping, Sleman",/properti/sleman/hos18093326/,Gamping,Sleman
"Rumah Mewah, Ada Privat Pool View Sawah Dan Gunung Merapi Di Ngaglik, Sleman",4900000000.0,4.0,4.0,2.0,262.0,300.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Tempat Wisata",Bintang Octaviano Wastu,2025-04-10 15:39:32.498641,"Ngaglik, Sleman",/properti/sleman/hos18093292/,Ngaglik,Sleman
Rumah Siap Bangun 3 Kt Sleman,720000000.0,3.0,1.0,2.0,120.0,50.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rida Property,2025-04-10 15:39:32.498642,"Ngemplak, Sleman",/properti/sleman/hos18093272/,Ngemplak,Sleman
Homestay Dalam Perumahan Sidoarum,765000000.0,3.0,2.0,2.0,109.0,80.0,"Rumah, Full Furnished",Jogjarumahcom yogyakarta,2025-04-10 15:39:32.498643,"Depok, Sleman",/properti/sleman/hos18093254/,Depok,Sleman
