title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
Rumah Baru Siap Huni Dekat Pasar Gentan Dan Kampus Uii,580000000.0,2.0,1.0,0.0,98.0,45.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Gede Arya,2025-03-13 15:39:32.493128,"Ngaglik, Sleman",/properti/sleman/hos15949530/,Ngaglik,Sleman
Rumah mewah 2 lantai furnished strategis barat pasar Cebongan,975000000.0,3.0,2.0,1.0,100.0,115.0,"Rumah, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah",Anggry Novian,2025-03-13 15:39:32.493139,"Mlati, Sleman",/properti/sleman/hos15893724/,Mlati,Sleman
RUMAH BARU CANTIK DESAIGN KEKINIAN SCANDINAVIAN DI BAKUNGAN WEDOMARTANI NGEMPLAK SLEMAN SHM Rumah Baru,895000000.0,3.0,2.0,2.0,111.0,60.0,"Rumah, Dekat Sekolah, Dekat Tempat Wisata",Muhlisin panoramicland,2025-03-22 15:39:32.493167,"Ngemplak, Sleman",/properti/sleman/hos15789090/,Ngemplak,Sleman
Rumah Murah Area Depok Lokasi Strtegis Dekat Stadion Dan Jogja Bay,1900000000.0,5.0,4.0,1.0,168.0,235.0,Rumah,Faza Jogja ID Property,2025-04-05 15:39:32.493222,"Depok, Sleman",/properti/sleman/hos15700478/,Depok,Sleman
Rumah Tinggal 2 Lantai di Perum Villa Gading Estate Ngemplak Sleman,1800000000.0,5.0,3.0,0.0,157.0,110.0,"Rumah, Siap Huni, Dekat Tempat Wisata",DANIEL AGUNG,2025-03-13 15:39:32.493228,"Ngemplak, Sleman",/properti/sleman/hos15635422/,Ngemplak,Sleman
Rumah Tinggal Cocok Untuk Usaha Lokasi Dekat Monumen Jogja Kembali,1950000000.0,5.0,2.0,1.0,207.0,150.0,Rumah,SULISTYO RINI,2025-03-13 15:39:32.493278,"Ngaglik, Sleman",/properti/sleman/hos15403413/,Ngaglik,Sleman
RUMAH MURAH 2 LANTAI DALAM PERUM Di JALAN KALIURANG KM 8 SLEMAN di Jalan kaliuran km 8 Rumah 2 Lantai HGB Bagus,1650000000.0,3.0,3.0,2.0,125.0,140.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Landmark",Muhlisin panoramicland,2025-03-22 15:39:32.493305,"Ngaglik, Sleman",/properti/sleman/hos15251579/,Ngaglik,Sleman
Rumah Murah Tengah Kota Area Seturan Dkt Outlet Biru Dan Pakuwon Mall,2200000000.0,4.0,2.0,2.0,115.0,180.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",Faza Jogja ID Property,2025-04-05 15:39:32.493308,"Depok, Sleman",/properti/sleman/hos15176812/,Depok,Sleman
Rumah 2 Lantai Perum Griya Perwita Asri Depok Sleman Jogjakarta,2000000000.0,4.0,2.0,1.0,177.0,135.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",SULISTYO RINI,2025-03-13 15:39:32.493333,"Depok, Sleman",/properti/sleman/hos15015077/,Depok,Sleman
Rumah Baru Dalam Cluster di Jalan Kaliurang Km 14 Sukoharjo Dekat UII di Jalan kaliuran km14 Rumah 2 Lantai SHM Baru,969000000.0,3.0,3.0,1.0,102.0,100.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Landmark",Muhlisin panoramicland,2025-03-22 15:39:32.493348,"Ngemplak, Sleman",/properti/sleman/hos14940177/,Ngemplak,Sleman
Rumah Baru Dalam Perumahan di JL Magelang Km 6 Jombor Dekat JCM,1800000000.0,3.0,3.0,1.0,118.0,100.0,"Rumah, Dekat Sekolah",Muhlisin panoramicland,2025-03-22 15:39:32.493382,"Mlati, Sleman",/properti/sleman/hos14703734/,Mlati,Sleman
